tokens,alpha,category,accuracy,total
16,0.3,brand,0.391304347826087,115
16,0.3,text_ocr,0.3379204892966361,654
16,0.3,number,0.23809523809523808,231
16,0.5,brand,0.391304347826087,115
16,0.5,text_ocr,0.3394495412844037,654
16,0.5,number,0.24242424242424243,231
16,0.7,brand,0.40869565217391307,115
16,0.7,text_ocr,0.3470948012232416,654
16,0.7,number,0.23376623376623376,231
32,0.3,brand,0.4782608695652174,115
32,0.3,text_ocr,0.42201834862385323,654
32,0.3,number,0.3722943722943723,231
32,0.5,brand,0.4782608695652174,115
32,0.5,text_ocr,0.42048929663608564,654
32,0.5,number,0.36796536796536794,231
32,0.7,brand,0.4782608695652174,115
32,0.7,text_ocr,0.42507645259938837,654
32,0.7,number,0.3722943722943723,231
64,0.3,brand,0.5304347826086957,115
64,0.3,text_ocr,0.481651376146789,654
64,0.3,number,0.49783549783549785,231
64,0.5,brand,0.5217391304347826,115
64,0.5,text_ocr,0.48623853211009177,654
64,0.5,number,0.4935064935064935,231
64,0.7,brand,0.5217391304347826,115
64,0.7,text_ocr,0.4801223241590214,654
64,0.7,number,0.5064935064935064,231
